Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Andre Johnson*,HOU,25,WR,16,16,163,103,63.2%,1147,11.1,5,56,50.3,53,7.0,6.4,71.7,1,JohnAn02
2,Mike Furrey,DET,29,WR,16,14,146,98,67.1%,1086,11.1,6,55,56.2,31,7.4,6.1,67.9,1,FurrMi00
3,Marvin Harrison*+,IND,34,WR,16,16,148,95,64.2%,1366,14.4,12,78,60.1,68,9.2,5.9,85.4,1,HarrMa00
4,Torry Holt*,STL,30,WR,16,16,179,93,52.0%,1188,12.8,10,66,47.5,67,6.6,5.8,74.3,2,HoltTo00
5,Donald Driver*,GNB,31,WR,16,16,173,92,53.2%,1295,14.1,8,54,48.0,82,7.5,5.8,80.9,1,DrivDo00
6,Laveranues Coles,NYJ,29,WR,16,16,152,91,59.9%,1098,12.1,6,53,49.3,58,7.2,5.7,68.6,1,ColeLa00
7,T.J. Houshmandzadeh,CIN,29,WR,14,13,132,90,68.2%,1081,12.0,9,58,56.1,40,8.2,6.4,77.2,0,HousTJ00
8,Steven Jackson*,STL,23,RB,16,16,110,90,81.8%,806,9.0,3,32,51.8,64,7.3,5.6,50.4,4,JackSt00
9,Kellen Winslow,CLE,23,TE,16,16,120,89,74.2%,875,9.8,3,41,53.3,40,7.3,5.6,54.7,1,WinsKe01
10,Reggie Bush,NOR,21,RB,16,8,121,88,72.7%,742,8.4,2,34,43.8,74,6.1,5.5,46.4,2,BushRe00
11,Chad Johnson*+,CIN,28,WR,16,16,152,87,57.2%,1369,15.7,7,67,55.3,74,9.0,5.4,85.6,1,JohnCh01
12,Reggie Wayne*,IND,28,WR,16,16,137,86,62.8%,1310,15.2,9,72,60.6,51,9.6,5.4,81.9,1,WaynRe00
13,Terrell Owens,DAL,33,WR,16,15,150,85,56.7%,1180,13.9,13,63,50.7,56,7.9,5.3,73.8,0,OwenTe00
14,Anquan Boldin*,ARI,26,WR,16,16,152,83,54.6%,1203,14.5,4,55,46.7,64,7.9,5.2,75.2,1,BoldAn00
