Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
45,Steve Smith,NYG,23,WR,16,4,82,57,69.5%,574,10.1,1,36,61.0,30,7.0,3.6,35.9,1,SmitSt02
46,Ted Ginn Jr.,MIA,23,WR,16,14,93,56,60.2%,790,14.1,2,36,52.7,64,8.5,3.5,49.4,5,GinnTe00
47,Zach Miller,OAK,23,TE,16,15,86,56,65.1%,778,13.9,1,32,50.0,63,9.0,3.5,48.6,0,MillZa01
48,Josh Reed,BUF,28,WR,13,13,80,56,70.0%,597,10.7,1,36,62.5,24,7.5,4.3,45.9,0,ReedJo01
49,Greg Camarillo,MIA,26,WR,11,11,83,55,66.3%,613,11.1,2,30,57.8,33,7.4,5.0,55.7,0,CamaGr00
50,John Carlson,SEA,24,TE,16,9,80,55,68.8%,627,11.4,5,36,60.0,33,7.8,3.4,39.2,0,CarlJo00
51,Braylon Edwards,CLE,25,WR,16,16,138,55,39.9%,873,15.9,3,42,37.0,70,6.3,3.4,54.6,0,EdwaBr00
52,Santonio Holmes,PIT,24,WR,15,15,114,55,48.2%,821,14.9,5,40,44.7,48,7.2,3.7,54.7,4,HolmSa00
53,Davone Bess,MIA,23,WR,16,6,75,54,72.0%,554,10.3,1,29,57.3,37,7.4,3.4,34.6,1,BessDa00
54,Greg Olsen,CHI,23,TE,16,7,82,54,65.9%,574,10.6,5,33,56.1,52,7.0,3.4,35.9,2,OlseGr00
55,Brian Westbrook,PHI,29,RB,14,14,74,54,73.0%,402,7.4,5,19,44.6,47,5.4,3.9,28.7,2,WestBr00
56,Donnie Avery,STL,24,WR,15,12,102,53,52.0%,674,12.7,3,29,41.2,69,6.6,3.5,44.9,0,AverDo00
57,Chad Johnson,CIN,30,WR,13,10,97,53,54.6%,540,10.2,4,35,54.6,26,5.6,4.1,41.5,0,JohnCh01
58,Antwaan Randle El,WAS,29,WR,16,16,87,53,60.9%,593,11.2,4,34,54.0,31,6.8,3.3,37.1,2,RandAn00
59,Bobby Wade,MIN,27,WR,16,14,89,53,59.6%,645,12.2,2,32,49.4,59,7.2,3.3,40.3,2,WadeBo00
60,Marion Barber III,DAL,25,RB,15,13,61,52,85.2%,417,8.0,2,18,49.2,70,6.8,3.5,27.8,7,BarbMa01
61,Reggie Bush,NOR,23,RB,10,9,73,52,71.2%,440,8.5,4,22,47.9,42,6.0,5.2,44.0,3,BushRe00
62,LaDainian Tomlinson,SDG,29,RB,16,16,77,52,67.5%,426,8.2,1,18,44.2,32,5.5,3.3,26.6,1,TomlLa00
63,Devin Hester,CHI,26,WR,15,8,91,51,56.0%,665,13.0,3,29,41.8,65,7.3,3.4,44.3,5,HestDe99
64,Michael Jenkins,ATL,26,WR,16,12,81,50,61.7%,777,15.5,3,37,53.1,62,9.6,3.1,48.6,0,JenkMi00
65,Jeremy Shockey,NOR,28,TE,12,11,72,50,69.4%,483,9.7,0,30,59.7,26,6.7,4.2,40.3,2,ShocJe00
66,Steve Slaton,HOU,22,RB,16,15,59,50,84.7%,377,7.5,1,14,39.0,46,6.4,3.1,23.6,3,SlatSt00
67,Brandon Stokley,DEN,32,WR,15,2,86,49,57.0%,528,10.8,3,35,53.5,36,6.1,3.3,35.2,0,StokBr00
68,Bernard Berrian,MIN,28,WR,16,13,95,48,50.5%,964,20.1,7,35,45.3,99,10.1,3.0,60.3,1,BerrBe00
69,Dustin Keller,NYJ,24,TE,16,6,78,48,61.5%,535,11.1,3,32,56.4,54,6.9,3.0,33.4,0,KellDu00
70,Heath Miller,PIT,26,TE,14,14,66,48,72.7%,514,10.7,3,30,59.1,22,7.8,3.4,36.7,1,MillHe00
71,Amani Toomer,NYG,34,WR,16,12,88,48,54.5%,580,12.1,4,30,52.3,40,6.6,3.0,36.3,1,ToomAm00
72,Marques Colston,NOR,25,WR,11,6,88,47,53.4%,760,16.2,5,35,52.3,70,8.6,4.3,69.1,1,ColsMa00
73,Warrick Dunn,TAM,33,RB,15,6,68,47,69.1%,330,7.0,0,11,47.1,36,4.9,3.1,22.0,0,DunnWa00
74,Bobby Engram,SEA,35,WR,13,11,80,47,58.8%,489,10.4,0,25,46.3,37,6.1,3.6,37.6,1,EngrBo00
75,Ike Hilliard,TAM,32,WR,16,2,58,47,81.0%,424,9.0,4,31,72.4,36,7.3,2.9,26.5,2,HillIk00
76,Marshawn Lynch*,BUF,22,RB,15,15,67,47,70.1%,300,6.4,1,15,35.8,42,4.5,3.1,20.0,2,LyncMa00
77,Leon Washington*+,NYJ,26,RB,16,1,61,47,77.0%,355,7.6,2,17,42.6,40,5.8,2.9,22.2,3,WashLe00
78,Bryant Johnson,SFO,27,WR,16,12,75,45,60.0%,546,12.1,3,28,52.0,42,7.3,2.8,34.1,0,JohnBr02
79,Billy Miller,NOR,31,TE,15,5,62,45,72.6%,579,12.9,1,30,62.9,41,9.3,3.0,38.6,0,MillBi00
80,Dominic Rhodes,IND,29,RB,15,4,59,45,76.3%,302,6.7,3,15,42.4,29,5.1,3.0,20.1,0,RhodDo00
81,Chester Taylor,MIN,29,RB,16,1,55,45,81.8%,399,8.9,2,17,43.6,47,7.3,2.8,24.9,2,TaylCh01
82,Dennis Northcutt,JAX,31,WR,14,3,68,44,64.7%,545,12.4,2,24,55.9,41,8.0,3.1,38.9,1,NortDe00
83,Frank Gore,SFO,25,RB,14,14,66,43,65.2%,373,8.7,2,13,45.5,26,5.7,3.1,26.6,6,GoreFr00
84,Domenik Hixon,NYG,24,WR,16,7,73,43,58.9%,596,13.9,2,29,52.1,41,8.2,2.7,37.3,0,HixoDo00
85,Chris Johnson*,TEN,23,RB,15,14,62,43,69.4%,260,6.0,1,11,37.1,25,4.2,2.9,17.3,1,JohnCh04
86,Kellen Winslow,CLE,25,TE,10,8,83,43,51.8%,428,10.0,3,25,45.8,30,5.2,4.3,42.8,1,WinsKe01
87,Visanthe Shiancoe,MIN,28,TE,16,15,59,42,71.2%,596,14.2,7,30,61.0,40,10.1,2.6,37.3,0,ShiaVi00
88,Desmond Clark,CHI,31,TE,16,16,73,41,56.2%,367,9.0,1,18,45.2,35,5.0,2.6,22.9,1,ClarDe00
89,Mark Clayton,BAL,26,WR,16,13,82,41,50.0%,695,17.0,3,23,39.0,70,8.5,2.6,43.4,0,ClayMa01
90,Brandon Jones,TEN,26,WR,16,7,62,41,66.1%,449,11.0,1,25,50.0,40,7.2,2.6,28.1,0,JoneBr02
91,Marcedes Lewis,JAX,24,TE,16,16,74,41,55.4%,489,11.9,2,21,41.9,30,6.6,2.6,30.6,0,LewiMa00
92,Derrick Ward,NYG,28,RB,16,3,55,41,74.5%,384,9.4,0,14,41.8,48,7.0,2.6,24.0,2,WardDe01
93,Steven Jackson,STL,25,RB,12,11,62,40,64.5%,379,9.5,1,15,43.5,53,6.1,3.3,31.6,5,JackSt00
94,Mewelde Moore,PIT,26,RB,16,4,53,40,75.5%,320,8.0,1,17,47.2,25,6.0,2.5,20.0,2,MoorMe00
95,Tony Scheffler,DEN,25,TE,13,7,61,40,65.6%,645,16.1,3,28,59.0,72,10.6,3.1,49.6,1,ScheTo00
96,Nate Washington,PIT,25,WR,16,1,78,40,51.3%,631,15.8,3,24,47.4,65,8.1,2.5,39.4,0,WashNa00
97,Patrick Crayton,DAL,29,WR,16,7,70,39,55.7%,550,14.1,4,24,45.7,55,7.9,2.4,34.4,1,CrayPa00
98,Donald Lee,GNB,28,TE,16,14,50,39,78.0%,303,7.8,5,12,48.0,26,6.1,2.4,18.9,0,LeexDo00
99,Kevin Smith,DET,22,RB,16,12,54,39,72.2%,286,7.3,0,9,35.2,27,5.3,2.4,17.9,2,SmitKe02
