Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Marvin Harrison*,IND,28,WR,16,16,169,102,60.4%,1413,13.9,14,70,52.7,78,8.4,6.4,88.3,2,HarrMa00
2,Muhsin Muhammad,CAR,27,WR,16,16,156,102,65.4%,1183,11.6,6,62,56.4,36,7.6,6.4,73.9,1,MuhaMu00
3,Ed McCaffrey,DEN,32,WR,16,16,149,101,67.8%,1317,13.0,9,69,59.1,61,8.8,6.3,82.3,0,McCaEd00
4,Rod Smith*,DEN,30,WR,16,16,173,100,57.8%,1602,16.0,8,77,53.8,49,9.3,6.3,100.1,1,SmitRo01
5,Terrell Owens*+,SFO,27,WR,14,13,146,97,66.4%,1451,15.0,13,65,60.3,69,9.9,6.9,103.6,3,OwenTe00
6,Cris Carter*,MIN,35,WR,16,16,161,96,59.6%,1274,13.3,9,72,54.0,53,7.9,6.0,79.6,3,CartCr00
7,Joe Horn*,NOR,28,WR,16,16,151,94,62.3%,1340,14.3,8,62,51.7,52,8.9,5.9,83.8,1,HornJo00
8,Keenan McCardell,JAX,30,WR,16,16,140,94,67.1%,1207,12.8,5,58,60.7,67,8.6,5.9,75.4,3,McCaKe00
9,Eric Moulds*,BUF,27,WR,16,16,164,94,57.3%,1326,14.1,5,62,51.2,52,8.1,5.9,82.9,1,MoulEr00
10,Tony Gonzalez*+,KAN,24,TE,16,16,150,93,62.0%,1203,12.9,9,66,52.0,39,8.0,5.8,75.2,0,GonzTo00
11,Jimmy Smith*,JAX,31,WR,15,14,145,91,62.8%,1213,13.3,8,46,53.8,65,8.4,6.1,80.9,1,SmitJi00
12,Richie Anderson*,NYJ,29,FB,16,10,125,88,70.4%,853,9.7,2,35,51.2,41,6.8,5.5,53.3,2,AndeRi00
13,Isaac Bruce*,STL,28,WR,16,16,135,87,64.4%,1471,16.9,9,65,60.0,78,10.9,5.4,91.9,1,BrucIs00
14,Troy Brown,NWE,29,WR,16,15,119,83,69.7%,944,11.4,4,46,62.2,44,7.9,5.2,59.0,2,BrowTr00
15,Torry Holt*,STL,24,WR,16,15,139,82,59.0%,1635,19.9,6,60,54.7,85,11.8,5.1,102.2,2,HoltTo00
16,Larry Centers,WAS,32,FB,15,6,93,81,87.1%,600,7.4,3,27,43.0,26,6.5,5.4,40.0,1,CentLa00
17,Marshall Faulk*+,STL,27,RB,14,14,113,81,71.7%,830,10.2,8,42,54.0,72,7.3,5.8,59.3,0,FaulMa00
18,Terry Glenn,NWE,26,WR,16,16,163,79,48.5%,963,12.2,6,56,42.3,39,5.9,4.9,60.2,0,GlenTe00
19,Derrick Alexander,KAN,29,WR,16,16,144,78,54.2%,1391,17.8,10,55,50.0,81,9.7,4.9,86.9,0,AlexDe00
20,Amani Toomer,NYG,26,WR,16,14,124,78,62.9%,1094,14.0,7,60,57.3,54,8.8,4.9,68.4,1,ToomAm00
21,Randy Moss*+,MIN,23,WR,16,16,129,77,59.7%,1437,18.7,15,57,57.4,78,11.1,4.8,89.8,2,MossRa00
22,Tim Brown,OAK,34,WR,16,16,133,76,57.1%,1128,14.8,11,59,51.9,45,8.5,4.8,70.5,0,BrowTi00
23,Jerry Rice,SFO,38,WR,16,16,122,75,61.5%,805,10.7,7,49,51.6,68,6.6,4.7,50.3,3,RiceJe00
24,Ahman Green,GNB,23,RB,16,11,99,73,73.7%,559,7.7,3,28,45.5,31,5.6,4.6,34.9,6,GreeAh00
25,Michael Pittman,ARI,25,RB,16,12,91,73,80.2%,579,7.9,2,18,45.1,36,6.4,4.6,36.2,5,PittMi00
26,David Boston,ARI,22,WR,16,16,133,71,53.4%,1156,16.3,7,48,48.1,70,8.7,4.4,72.3,2,BostDa00
27,Keyshawn Johnson,TAM,28,WR,16,16,122,71,58.2%,874,12.3,8,49,52.5,38,7.2,4.4,54.6,2,JohnKe00
28,Freddie Jones,SDG,26,TE,16,16,126,71,56.3%,766,10.8,5,38,45.2,44,6.1,4.4,47.9,3,JoneFr00
29,Tiki Barber,NYG,25,RB,16,12,95,70,73.7%,719,10.3,1,29,48.4,36,7.6,4.4,44.9,9,BarbTi00
30,Curtis Martin,NYJ,27,RB,16,16,96,70,72.9%,508,7.3,2,25,50.0,31,5.3,4.4,31.8,2,MartCu00
31,Frank Wycheck*,TEN,29,TE,16,16,109,70,64.2%,636,9.1,4,37,47.7,26,5.8,4.4,39.8,2,WychFr00
32,Wayne Chrebet,NYJ,27,WR,16,16,143,69,48.3%,937,13.6,8,49,43.4,50,6.6,4.3,58.6,0,ChreWa00
33,Chad Lewis*,PHI,29,TE,16,16,110,69,62.7%,735,10.7,3,35,54.5,52,6.7,4.3,45.9,0,LewiCh00
34,Charlie Garner*,SFO,28,RB,16,15,94,68,72.3%,647,9.5,3,28,52.1,62,6.9,4.3,40.4,4,GarnCh00
35,Shannon Sharpe,BAL,32,TE,16,15,105,67,63.8%,810,12.1,5,36,54.3,59,7.7,4.2,50.6,0,SharSh00
36,Donald Hayes,CAR,25,WR,15,15,112,66,58.9%,926,14.0,3,47,53.6,43,8.3,4.4,61.7,1,HayeDo00
37,Bill Schroeder,GNB,29,WR,16,16,119,65,54.6%,999,15.4,4,51,51.3,55,8.4,4.1,62.4,1,SchrBi00
38,Kyle Brady,JAX,28,TE,16,15,94,64,68.1%,729,11.4,3,39,61.7,36,7.8,4.0,45.6,0,BradKy00
39,Sean Dawkins,SEA,29,WR,16,16,102,63,61.8%,731,11.6,5,42,56.9,40,7.2,3.9,45.7,0,DawkSe00
40,Edgerrin James*,IND,22,RB,16,16,87,63,72.4%,594,9.4,5,24,52.9,60,6.8,3.9,37.1,5,JameEd00
41,Derrick Mason*+,TEN,26,WR,16,10,89,63,70.8%,895,14.2,5,45,57.3,34,10.1,3.9,55.9,1,MasoDe00
42,Ricky Watters,SEA,31,RB,16,16,92,63,68.5%,613,9.7,2,28,42.4,59,6.7,3.9,38.3,5,WattRi00
43,Antonio Freeman,GNB,28,WR,15,15,120,62,51.7%,912,14.7,9,47,45.8,67,7.6,4.1,60.8,1,FreeAn00
44,Johnnie Morton,DET,29,WR,16,16,116,61,52.6%,788,12.9,3,40,44.0,42,6.8,3.8,49.3,1,MortJo00
45,Shawn Jefferson,ATL,31,WR,16,14,104,60,57.7%,822,13.7,2,40,49.0,49,7.9,3.8,51.4,1,JeffSh00
46,Tony Richardson,KAN,29,FB,16,16,75,58,77.3%,468,8.1,3,19,44.0,24,6.2,3.6,29.3,3,RichTo00
47,Kevin Johnson,CLE,24,WR,16,16,98,57,58.2%,669,11.7,0,26,37.8,79,6.8,3.6,41.8,0,JohnKe01
48,Terance Mathis,ATL,33,WR,16,16,124,57,46.0%,679,11.9,5,42,40.3,44,5.5,3.6,42.4,1,MathTe00
49,Oronde Gadsden,MIA,29,WR,16,16,93,56,60.2%,786,14.0,6,35,53.8,61,8.5,3.5,49.1,0,GadsOr00
50,Charles Johnson,PHI,28,WR,16,16,100,56,56.0%,642,11.5,7,33,43.0,59,6.4,3.5,40.1,0,JohnCh00
51,Jeff Graham,SDG,31,WR,14,13,112,55,49.1%,907,16.5,4,38,43.8,83,8.1,3.9,64.8,1,GrahJe00
