NAME,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Rec,Catch %,TD
"John Metchie III","HOU",1,"","2%","7%","6%","6%","","","","2%","5%","3%","6%","11%","18%","3%","6%","9%","8%",30,1.9,5.1,16,53.3,
"Jalen Tolbert","DAL",2,"4%","11%","","11%","","","","3%","11%","11%","12%","9%","2%","3%","","6%","3%","8%",36,2.1,5.9,22,61.1,2
"Braxton Berrios","MIA",1,"11%","10%","7%","17%","7%","6%","6%","7%","","","","3%","","6%","4%","","5%","7%",33,2.1,5.8,27,81.8,1
"Brandon Powell","MIN",1,"","","2%","","13%","13%","11%","9%","8%","15%","12%","9%","","3%","","11%","6%","7%",44,2.6,7,29,65.9,1
"Chase Claypool","MIA",4,"5%","28%","18%","","","","","4%","","","","","","","8%","","3%","7%",21,1.8,3.7,8,38.1,1
"Richie James","KC",1,"5%","2%","","","","","","","","","","","6%","5%","3%","7%","3%","7%",14,1.6,2.2,10,71.4,
"Tyler Boyd","CIN",1,"9%","20%","18%","23%","15%","20%","","9%","11%","30%","19%","19%","18%","12%","12%","17%","6%","7%",98,5.8,15.9,67,68.4,2
"Trenton Irwin","CIN",2,"","","","3%","22%","","","6%","","10%","16%","4%","3%","","","10%","6%","7%",32,2,5.2,25,78.1,1
"Tylan Wallace","BAL",1,"","","","","","","","","","","","","","","","","","7%",2,0.2,0.4,1,50,
"Donovan Peoples-Jones","DET",2,"7%","10%","12%","11%","","3%","8%","","","","3%","","4%","3%","3%","2%","","6%",25,1.7,4.1,13,52,
"Equanimeous St. Brown","CHI",2,"","","","3%","3%","","","","","3%","9%","","","","","","","6%",6,0.9,1.2,5,83.3,
"Jalin Hyatt","NYG",1,"3%","5%","","6%","","11%","17%","","17%","4%","8%","24%","","14%","8%","","10%","6%",40,2.4,7.7,23,57.5,
"Kalif Raymond","DET",1,"3%","9%","18%","4%","11%","7%","4%","11%","","12%","6%","11%","","11%","3%","5%","3%","6%",44,2.6,7.3,35,79.5,1
"Scotty Miller","ATL",1,"","","","","5%","4%","4%","6%","","5%","","10%","","8%","","3%","","6%",16,0.9,3,11,68.8,2
"Terrace Marshall Jr.","CAR",2,"16%","","14%","31%","","8%","","3%","3%","8%","","","","","","","","6%",33,3.7,5.6,19,57.6,
"Allen Robinson II","PIT",1,"17%","10%","14%","7%","28%","","4%","2%","7%","","14%","3%","11%","8%","12%","15%","","5%",49,2.9,9.7,34,69.4,
"Gabe Davis","BUF",1,"10%","19%","12%","12%","20%","13%","12%","30%","5%","23%","","24%","","5%","7%","29%","10%","5%",81,4.8,14,45,55.6,7
"Irvin Charles","NYJ",2,"","","","","","","","","","","","","","","","","","5%",1,0.1,0.2,0,0,
"Jason Brownlee","NYJ",3,"","","","","","","","","","","","5%","","","","6%","4%","5%",8,1.1,1.3,5,62.5,1
"Michael Gallup","DAL",1,"8%","5%","18%","17%","19%","33%","","9%","7%","5%","12%","3%","2%","13%","3%","6%","","5%",57,3.4,9.3,34,59.6,2
"Randall Cobb","NYJ",2,"5%","4%","6%","10%","4%","9%","","","","","","","","3%","8%","","","5%",17,1.5,2.8,5,29.4,1
"Tim Jones","JAX",2,"","","7%","3%","3%","","7%","","","6%","","","3%","","","11%","4%","5%",18,1.1,2.9,11,61.1,
"Jake Bobo","SEA",2,"","2%","6%","4%","","5%","21%","5%","","4%","5%","4%","2%","","3%","8%","3%","4%",25,1.5,4.3,19,76,2
"Jamison Crowder","WAS",1,"","","","","4%","","","13%","13%","2%","4%","","","","","3%","","4%",20,1.2,3.1,16,80,1
"Lynn Bowden Jr.","NO",2,"","","","3%","","","","","","2%","","5%","3%","15%","17%","","3%","4%",16,1.1,2.6,11,68.8,
"River Cracraft","MIA",2,"11%","7%","4%","","","","","","","","","","8%","","","","3%","4%",12,1.2,2.1,9,75,1
"A.J. Brown","PHI",1,"30%","26%","38%","35%","21%","20%","48%","21%","39%","","18%","29%","27%","46%","32%","29%","21%","3%",158,9.3,28.1,106,67.1,7
"DeAndre Carter","OAK",1,"4%","4%","2%","","3%","3%","","","4%","","","","","","","","","3%",7,0.4,1.3,4,57.1,
"Deonte Harty","BUF",1,"10%","8%","9%","8%","5%","3%","2%","","3%","4%","3%","","","2%","","","","3%",21,1.3,3.6,15,71.4,1
"David Moore","TB",2,"","","","","","","","","","","","3%","","3%","7%","3%","3%","3%",7,1,1.2,5,71.4,1
"Deven Thompkins","TB",1,"9%","","16%","12%","","11%","7%","","","7%","2%","","3%","","","","6%","3%",25,1.5,4.4,17,68,1
"Justin Watson","KC",2,"10%","12%","8%","3%","7%","2%","","8%","17%","","26%","9%","","2%","8%","13%","10%","3%",53,3.3,8.3,27,50.9,3
"KhaDarel Hodge","ATL",2,"","","3%","6%","3%","2%","4%","9%","16%","","","","4%","5%","5%","3%","6%","3%",23,1.4,4.3,14,60.9,
"Lil'Jordan Humphrey","DEN",2,"6%","6%","","4%","","","","","","3%","3%","5%","4%","3%","12%","","12%","3%",19,1.1,3.7,13,68.4,3
"Marvin Mims Jr.","DEN",1,"6%","6%","13%","7%","3%","","3%","5%","","3%","9%","14%","8%","9%","6%","11%","","3%",33,2.1,6.4,22,66.7,1
"Romeo Doubs","GB",1,"19%","12%","27%","36%","13%","","16%","22%","12%","12%","15%","12%","14%","18%","8%","18%","18%","3%",96,5.6,16.5,59,61.5,8
"Derius Davis","LAC",1,"3%","","2%","8%","","","7%","5%","3%","5%","3%","2%","","","6%","3%","","2%",17,1,2.7,15,88.2,
"Jalen Brooks","DAL",2,"","","","","","","","","","9%","","3%","","","","","","2%",6,0.9,1,6,100,
"Parker Washington","JAX",1,"","","","","","","","","","","","","15%","6%","14%","9%","4%","2%",21,2.3,3.4,16,76.2,2
"Amari Cooper","CLE",1,"24%","25%","24%","17%","","24%","22%","34%","17%","26%","19%","14%","11%","31%","18%","34%","","",128,8.5,20.5,72,56.2,5
"Antoine Green","DET",2,"","3%","","","","","2%","","","","","","","","","","","",2,0.2,0.3,1,50,
"Allen Lazard","NYJ",1,"18%","15%","14%","8%","15%","9%","","17%","12%","12%","3%","","3%","","16%","2%","","",49,3.5,8.2,23,46.9,1
"Austin Trammell","LAR",1,"","","","","","","","","4%","","19%","","","","","","","",7,0.4,1.2,4,57.1,
"Byron Pringle","WAS",2,"","3%","","5%","4%","","2%","2%","9%","5%","7%","5%","","","3%","6%","4%","",22,1.3,3.5,14,63.6,
"Calvin Austin III","PIT",1,"13%","13%","21%","18%","3%","","","5%","3%","4%","","3%","4%","","","7%","","",30,1.8,5.9,17,56.7,1
"Cephus Johnson","TB","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Collin Johnson","CHI",3,"","","","","","","","","","","","","","","","","3%","",1,0.3,0.2,1,100,
"Christian Kirk","JAX",1,"9%","33%","14%","40%","22%","20%","20%","16%","","34%","19%","18%","3%","","","","","",85,7.1,13.7,57,67.1,3
