Juwan Johnson|2022,Juwan Johnson,NO,NO|2022,2022,131.7,10,8.8,15,3.2,25,3,15,93.8%,607,40.5,65.1%,347,50.3%,64,3,11,41,4,487,569,171,740,7,24,0,0,8,3,0,23.1,4.3,2.7,32.5,8.9,11.4,49.3,0.47,1.6,0.5,0.18,1.40,1.64,14.3%,64.0%,4.7%,36.4%,11.9,69.6,1.06,14.0%,8.9,1.11,17.1%,22.8%,31.20%,0.86,14.8,117.8,66.8,4.7%,5.57,2.60,933,458,408,1773,12,376,449,3548,3958,22,41,487,7,0,8,0.52,14.8,0.36,0,2.7,32.5,0.47,0.5,19.5%,0.99,-,3,20.0%,5,33.3%,10,66.7%,0,1,1,0.0%,33.3%,33.3%,2020,UDFA,UDFA
Cole Kmet|2022,Cole Kmet,CHI,CHI|2022,2022,131.6,11,8.2,19,2.7,23,3,16,100.0%,922,57.6,93.8%,402,43.4%,64,10,5,46,2,487,449,234,683,6,23,1,0,4,2,0,25.1,4.0,2.9,30.4,7.0,14.6,42.7,0.38,1.4,0.3,0.16,1.20,1.12,19.3%,72.0%,15.6%,40.0%,10.6,81.2,1.39,15.4%,7.0,-0.11,13.0%,26.6%,39.70%,1.08,8.0,92.3,63.4,3.1%,5.69,4.36,983,350,536,2896,17,426,332,2451,2897,18,48,496,6,0,4,0.50,9.1,0.19,0,3.0,31.0,0.38,0.3,8.3%,0.57,132.3,2,12.5%,3,18.8%,10,62.5%,0,1,2,0.0%,33.3%,66.7%,2020,2,43
Dallas Goedert|2022,Dallas Goedert,PHI,PHI|2022,2022,130.6,12,11.9,5,2.7,27,5,11,68.8%,662,60.2,89.0%,349,0.444,61,3,7,49,2,656,380,387,767,3,37,1,1,6,2,0,31.7,5.5,4.5,59.6,6.2,35.2,69.7,0.27,3.4,0.6,0.17,1.90,1.09,19.1%,0.8,0.049,0.286,13.4,218.7,1.94,14.9%,6.2,1.51,6.1%,20.3%,39.10%,1.73,43.0,128.9,82.2,0.033,6.19,3.65,744,339,340,1438,18,277,319,2869,2562,17,49,656,3,0,6,0.88,43.0,0.88,0,4.5,59.6,0.27,0.6,12.2%,3.91,86.3,2,18.2%,6,54.5%,9,81.8%,0,3,5,0.0%,60.0%,100.0%,2018,2,49
Gerald Everett|2022,Gerald Everett,LAC,LAC|2022,2022,129.7,13,8.6,16,2.3,28,6,15,93.8%,637,42.5,60.2%,427,40.5%,82,5,13,55,7,547,482,319,801,3,27,0,0,14,4,1,28.5,5.5,3.7,36.5,5.9,21.3,53.4,0.20,1.8,0.9,0.19,1.30,1.13,13.4%,67.0%,6.1%,53.8%,9.9,182.3,0.86,12.7%,5.9,0.52,5.5%,13.6%,28.90%,1.13,1.8,93.4,70.4,4.9%,5.79,3.26,1059,637,352,1350,14,470,614,4213,3810,21,56,547,3,0,14,0.52,1.2,0.02,1,3.7,36.5,0.20,0.9,25.0%,0.08,182.8,2,13.3%,6,40.0%,11,73.3%,0,0,5,0.0%,0.0%,83.3%,2017,2,44
Tyler Conklin|2022,Tyler Conklin,NYJ,NYJ|2022,2022,128.0,14,8.0,20,2.2,27,5,16,100.0%,807,50.4,76.3%,460,29.9%,83,7,12,56,8,537,553,290,843,3,24,2,0,3,4,0,28.8,5.2,3.5,33.6,6.7,18.1,52.7,0.19,1.5,0.2,0.18,1.20,1.20,14.5%,67.0%,8.4%,66.7%,9.6,179.0,0.90,11.7%,6.7,0.32,5.40%,16.9%,30.00%,0.97,3.1,80.2,60.9,4.8%,4.81,4.20,1058,594,385,1648,13,457,573,3891,4601,15,58,540,3,0,3,0.51,4.4,0.08,0,3.6,33.8,0.19,0.2,5.20%,0.28,239.3,2,12.5%,5,31.3%,10,62.5%,0,0,2,0.0%,0.0%,40.0%,2018,5,157
David Njoku|2022,David Njoku,CLE,CLE|2022,2022,127.8,15,9.8,10,2.3,26,6,13,81.3%,758,58.3,83.5%,365,34.7%,75,9,12,54,6,586,489,325,814,3,32,1,1,5,4,0,28.1,5.8,4.2,45.1,6.5,25.0,62.6,0.23,2.5,0.4,0.21,1.60,1.34,18.5%,72.0%,12.0%,50.0%,10.9,195.3,1.36,15.2%,6.5,1.10,5.60%,20.2%,38.40%,1.20,20.2,98.1,76.9,5.3%,5.18,3.07,908,431,404,1898,15,405,405,2859,3223,15,56,578,3,0,5,0.64,17.7,0.32,0,4.3,44.5,0.23,0.4,8.90%,1.36,155.2,3,23.1%,5,38.5%,8,61.5%,0,1,4,0.0%,16.7%,66.7%,2017,1,29
Dawson Knox|2022,Dawson Knox,BUF,BUF|2022,2022,126.4,16,9.0,14,2.7,25,4,14,87.5%,777,55.5,80.1%,446,47.6%,63,5,8,46,3,504,504,183,687,5,24,0,0,4,5,0,31.9,4.5,3.3,36.0,8.0,13.1,49.1,0.36,1.7,0.3,0.14,1.10,1.13,13.0%,73.0%,7.9%,37.5%,11.0,100.8,0.99,12.0%,8.0,0.38,0.109,15.9%,27.90%,1.00,18.1,102.9,61.6,7.9%,5.48,4.27,970,507,387,2022,14,372,485,3605,4207,28,46,504,5,0,4,0.52,18.1,0.39,0,3.3,36.0,0.36,0.3,0.087,1.29,118.8,3,21.4%,6,42.9%,11,78.6%,0,1,2,0.0%,25.0%,50.0%,2019,3,96
Noah Fant|2022,Noah Fant,SEA,SEA|2022,2022,116.6,17,7.3,23,2.5,24,4,16,100.0%,615,38.4,60.1%,325,40.7%,59,6,6,46,0,466,389,218,607,4,24,0,0,1,0,0,20.3,3.7,2.9,29.1,6.6,13.6,37.9,0.25,1.5,0.1,0.18,1.40,1.20,11.3%,78.0%,10.2%,0.0%,10.1,116.5,0.86,9.7%,6.6,0.11,8.70%,12.6%,23.70%,1.20,19.7,122.2,70.4,0.0%,7.11,3.90,1023,542,389,1845,12,405,524,4069,4019,29,46,466,4,0,1,0.46,19.7,0.43,0,2.9,29.1,0.25,0.1,2.20%,1.23,130.3,1,6.3%,3,18.8%,10,62.5%,0,2,4,0.0%,50.0%,100.0%,2019,1,20
Zach Ertz|2022,Zach Ertz,ARI,ARI|2022,2022,115.6,18,11.6,6,2.5,31,10,10,62.5%,575,57.5,79.2%,375,57.7%,69,5,13,47,5,406,548,130,678,4,24,0,0,4,3,2,37.5,6.9,4.7,40.6,7.9,13.0,67.8,0.40,2.4,0.4,0.18,1.10,1.46,18.0%,68.0%,7.2%,38.5%,8.6,101.5,1.01,21.4%,7.9,-0.37,0.085,23.8%,42.00%,0.74,6.3,100.9,66.6,4.3%,5.14,3.04,726,401,260,1131,9,264,383,2418,2565,13,47,406,4,0,4,0.56,6.3,0.13,2,4.7,40.6,0.40,0.4,0.085,0.63,155.3,2,20.0%,8,80.0%,9,90.0%,3,6,9,30.0%,60.0%,90.0%,2013,2,35
Robert Tonyan|2022,Robert Tonyan,GB,GB|2022,2022,106.1,19,6.6,26,2.1,28,6,16,100.0%,554,34.6,53.6%,348,0.386,64,5,5,50,2,441,364,227,591,2,18,0,0,3,1,0,21.8,4.0,3.1,27.6,5.7,14.2,36.9,0.13,1.1,0.2,0.18,1.30,1.05,12.5%,0.78,0.078,0.4,8.8,220.5,0.82,8.8%,5.7,-0.93,4.0%,9.8%,24.90%,1.21,2.7,94.5,59.8,0.016,6.55,4.39,1034,536,428,2010,12,504,513,3685,4162,26,50,441,2,0,3,0.43,2.7,0.05,0,3.1,27.6,0.13,0.2,6.0%,0.17,198.3,1,6.3%,3,18.8%,9,56.3%,1,1,2,16.7%,16.7%,33.3%,2017,UDFA,UDFA
